n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;4;-689.10732471;-676.61799727;0.10990528;0.00988894
3;2;-689.85485581;-679.14971801;0.10795609;0.01028583
4;5;-690.32459418;-672.48269784;0.10174022;0.00936375
5;7;-692.26471603;-669.07025079;0.07225446;0.00835738
6;6;-693.29221671;-670.09775147;0.07051845;0.00830819
7;5;-697.74547118;-674.55100593;0.09175674;0.00796695
8;3;-686.70942361;-665.29914800;0.10879223;0.00894690
9;2;-686.90159821;-665.49132261;0.10438456;0.00907258
10;5;-685.24518256;-656.69814842;0.08077324;0.00845352
11;2;-682.70202006;-657.72336519;0.10899385;0.00911171
12;2;-680.61526918;-653.85242467;0.11265370;0.00913186
13;2;-678.66462135;-650.11758721;0.11693945;0.00913148
14;2;-676.52261113;-646.19138735;0.12133780;0.00913498
