m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err
2;1.50245811e+01;1.08987254e-03;6.01109809e+01;7.22111086e+01;6.82054383e+01;1.13460976e+02;9.50883418e+00;7.39527922e+00;-3.23333467e-01;1.36935069e+00;3.04276232e+00;4.80938803e+00;2.02477157e+00;2.89792131e+00;;;;;;;;;;;;;;;;;;;;
3;1.50262637e+01;1.28960422e-03;2.97895615e+02;1.54358278e+02;8.79182993e+01;2.26704778e+01;-5.84065537e+02;4.39285340e+02;-6.63999679e+01;4.75311351e+01;1.88817752e+01;1.02806797e+01;-1.20855133e+01;1.14539538e+01;-1.77267341e+01;1.29231979e+01;;;;;;;;;;;;;;;;;;
4;1.50245833e+01;1.09737126e-03;3.17792242e+01;7.72729007e+01;-4.95830227e+01;3.92647778e+01;-1.29666095e+02;2.25669423e+02;-2.43059361e+01;2.26165722e+01;1.15709037e+00;5.14643252e+00;-4.00887870e+00;7.39296371e+00;-4.23203867e+00;5.44924343e+00;-1.51769030e-01;7.56295204e-01;;;;;;;;;;;;;;;;
5;1.50240216e+01;1.32171391e-03;7.33843468e+00;4.53550103e+02;2.55785289e+03;8.54768752e+03;-5.71534571e+02;2.25887713e+03;-6.97863369e+03;2.22277666e+04;-4.76068487e-01;3.01812795e+01;1.71323132e+02;5.48287581e+02;-2.05277345e+02;6.57210858e+02;-1.79163437e+02;5.72142760e+02;1.48897902e+01;4.79671780e+01;;;;;;;;;;;;;;
6;1.50239919e+01;1.34248764e-03;2.61903615e+02;2.42070827e+03;3.95816128e+03;1.81187227e+04;-1.10764641e+01;3.11147246e+03;-8.79706629e+03;4.08313257e+04;1.64654743e+01;1.61098689e+02;2.48361014e+02;1.07144199e+03;-2.35867116e+02;1.13717638e+03;-2.33095444e+02;1.09250732e+03;2.20531597e+01;1.11647511e+02;-8.33329228e-01;7.05839107e+00;;;;;;;;;;;;
7;1.50240056e+01;1.34064604e-03;3.14840871e+01;1.84726584e+03;3.12416024e+03;1.22360762e+04;-1.54958802e+03;8.85613694e+03;-9.55189898e+03;3.82910326e+04;1.13053441e+00;1.22938020e+02;2.07498027e+02;7.67761386e+02;-3.04764712e+02;1.24323996e+03;-2.37149193e+02;9.93918297e+02;1.38467765e+01;1.55844842e+02;4.06086079e+00;6.96181718e+01;-1.11071450e+00;1.64341206e+01;;;;;;;;;;
8;1.50239885e+01;1.34378192e-03;8.33141313e+02;6.10486081e+03;7.75861399e+02;6.28695693e+03;3.65913816e+02;2.94187416e+03;-4.45577192e+03;2.78616672e+04;5.44843771e+01;4.06290958e+02;1.57472110e-01;1.39214359e+02;4.24140827e+01;2.89979830e+02;-3.13706457e+02;1.86099285e+03;2.13478478e+02;1.23452830e+03;-1.48730378e+02;8.50950175e+02;6.59630566e+01;3.75168583e+02;-1.31520945e+01;7.45472117e+01;;;;;;;;
9;1.50239943e+01;1.34331557e-03;8.53254180e+02;7.53732073e+03;-1.97322429e+03;1.64704805e+04;2.41718435e+03;1.26660440e+04;-1.91287454e+03;9.88212516e+03;5.58236499e+01;5.01633066e+02;-1.84127228e+02;1.55707074e+03;3.56453542e+02;2.45550463e+03;-5.22616276e+02;3.03031859e+03;5.48457306e+02;3.34569149e+03;-4.86527526e+02;2.91102138e+03;3.01659449e+02;1.75819080e+03;-1.13113463e+02;6.43671463e+02;1.90971739e+01;1.06613850e+02;;;;;;
10;1.50239966e+01;1.34407782e-03;7.67530946e+02;9.78022730e+03;1.10094644e+03;3.03778678e+04;-2.84249400e+03;9.23664108e+04;3.77077487e+02;4.06533026e+04;5.01182990e+01;6.50911596e+02;2.59359644e+01;2.43076921e+03;-1.96853708e+02;8.36751007e+03;2.41159846e+02;1.12114138e+04;-3.81672944e+02;1.38091122e+04;5.42071616e+02;1.60275130e+04;-5.67857836e+02;1.46649387e+04;3.94262264e+02;9.46748003e+03;-1.59699106e+02;3.73458805e+03;2.83869421e+01;6.66293120e+02;;;;
11;1.50242528e+01;1.29814324e-03;7.35797352e+01;1.91230630e+03;-4.07130096e+02;8.78826037e+03;7.08400129e+01;4.29956687e+03;6.96218865e+02;2.13896275e+04;3.93672798e+00;1.27273612e+02;-3.04098278e+01;7.06227797e+02;3.49838409e+01;8.34198399e+02;1.87655213e+00;7.56204620e+02;8.60557604e+00;7.32948088e+02;3.38135646e+00;8.30756446e+02;-9.53289573e+00;7.84236629e+02;-1.68157287e+00;8.45539776e+02;1.42483040e+01;8.97826474e+02;-1.17357978e+01;5.27068281e+02;3.17050040e+00;1.24391228e+02;;
12;1.50240012e+01;1.34278186e-03;6.39113947e+02;8.23559220e+03;-7.57241044e+02;2.57889512e+04;-1.86103004e+02;4.30145542e+04;4.61931294e+01;1.55315098e+04;4.15720488e+01;5.48119343e+02;-8.95885732e+01;1.73748365e+03;8.76820388e+01;3.99977678e+03;-1.04297639e+02;4.75156124e+03;8.83480457e+01;4.65310834e+03;-7.12920913e+01;5.42207080e+03;1.81832139e+02;2.02120901e+04;-4.56778537e+02;3.95492913e+04;6.52244721e+02;4.57997070e+04;-5.28779192e+02;3.22008522e+04;2.30727732e+02;1.27403130e+04;-4.23378011e+01;2.18136421e+03
