R_original_avg,Residual_original_avg,R_comparison_avg,Residual_comparison_avg
7.05525996,0.00007697,8.90021560,0.00013985
7.06700903,-0.00001533,8.63506310,0.00011373
7.08682147,0.00012546,8.55293020,0.00011077
7.10665091,0.00020027,8.47477160,0.00006356
7.12674477,0.00007897,8.39406100,0.00005368
7.16937828,0.00013338,8.31838910,0.00010291
7.17675242,0.00014323,8.24574800,0.00012636
7.18611045,0.00006384,8.17582120,0.00011753
7.16685962,-0.00002751,8.10837770,0.00014960
7.18736434,-0.00010886,8.04510170,0.00014651
7.20703227,-0.00020441,7.98367810,0.00012349
7.22753678,-0.00015456,7.92449630,0.00028730
7.24730282,-0.00018821,7.86756600,0.00034553
7.26762142,-0.00011431,7.81347160,0.00034862
7.28747252,-0.00006431,7.76119500,0.00052906
7.30747002,0.00003589,7.71016960,0.00059416
7.32850224,-0.00007888,7.66097690,0.00051660
7.34862089,-0.00015378,7.61296560,0.00052664
7.36921547,-0.00019045,7.56715940,0.00041423
7.39138715,-0.00003760,7.52185460,0.00022434
7.41287507,-0.00007677,7.47816160,0.00009302
7.43362567,-0.00004466,7.43457970,-0.00014864
7.45526347,-0.00001103,7.39199430,-0.00023661
7.47687568,-0.00010594,7.35023750,-0.00016885
7.49875498,-0.00003868,7.30629300,-0.00013944
7.52221989,0.00007100,7.30634430,-0.00014154
7.54460866,0.00019669,7.26650060,-0.00028591
7.56752020,0.00023254,7.22638180,-0.00079488
7.58997414,0.00028421,7.18665700,-0.00089745
7.61356975,0.00005834,7.14986230,-0.00105108
7.63743830,0.00001108,7.14524290,-0.00117097
7.66147850,-0.00001240,7.10529700,-0.00104660
7.68573118,0.00010922,7.06564140,-0.00063517
7.71044563,0.00005209,7.05160490,-0.00067401
7.73562270,0.00027500,7.06026240,-0.00066746
7.76155500,0.00024223,,
7.76144381,0.00010594,,
7.78750828,-0.00006981,,
7.81378231,0.00015943,,
7.84054394,0.00007990,,
7.86787369,-0.00001050,,
7.89590356,0.00005992,,
7.92470814,0.00002160,,
7.95404604,-0.00008620,,
7.98404664,-0.00012493,,
8.01446677,-0.00021517,,
8.04549735,-0.00020138,,
8.07700848,-0.00014792,,
8.10882062,-0.00013071,,
8.14162328,-0.00012956,,
8.17640993,0.00005083,,
8.21152070,0.00006496,,
8.24639809,0.00004918,,
8.28090705,-0.00007161,,
8.31867003,-0.00009812,,
8.35716802,-0.00001833,,
8.39481658,0.00000110,,
8.43525853,0.00000996,,
8.43523299,0.00005680,,
8.47496024,0.00010141,,
8.51457125,0.00000791,,
8.55303197,0.00002243,,
8.59554899,0.00005761,,
8.63510683,0.00001440,,
8.67847165,-0.00001131,,
8.72198211,0.00001885,,
8.76653162,-0.00001694,,
8.80988921,0.00003114,,
8.85634674,0.00006876,,
8.90043159,0.00009382,,
