degree;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err
5;-1.41857330e+03;1.88586439e+02;6.05975047e+02;1.12384371e+02;-9.71671217e+01;2.69311152e+01;6.95814295e+00;3.24564478e+00;-1.79014102e-01;1.96778686e-01;-6.26106634e-04;4.80161622e-03;;;;;;;;;;;;;;;;;;;;
6;-7.43555831e+02;1.51666349e+03;1.85342953e+01;1.07529663e+03;1.10156222e+02;3.31950642e+02;-3.12864760e+01;5.68872649e+01;3.72767831e+00;5.63991128e+00;-2.10804831e-01;3.02689381e-01;4.66302359e-03;6.80205976e-03;;;;;;;;;;;;;;;;;;
7;-2.22861210e+02;3.26556586e+03;-1.38239030e+02;1.83423776e+03;6.19740777e+01;3.31329327e+02;-2.19431570e-02;3.99630151e-01;-2.70172593e+00;8.08033061e+00;4.50652918e-01;1.17204559e+00;-2.99591488e-02;7.09731521e-02;7.37140381e-04;1.63970948e-03;;;;;;;;;;;;;;;;
8;-1.19129865e+03;3.36036900e+03;4.78729421e+02;1.42067931e+03;-1.07652924e+01;1.36445112e+02;-4.08804004e+01;9.62641916e+01;1.42622645e+01;2.07125178e+01;-2.42277559e+00;1.96017339e+00;2.29642728e-01;9.41317287e-02;-1.15880590e-02;4.36200711e-03;2.42846142e-04;1.34261212e-04;;;;;;;;;;;;;;
9;2.41903850e+03;4.75135236e+03;-1.01096329e+03;2.18296762e+03;4.57510898e+01;4.10647377e+02;2.71157108e+01;7.57951674e+01;-2.38546636e+00;9.07538303e+00;-2.39347975e-01;7.62549428e-01;-1.09482983e-02;3.60967222e-02;1.10000693e-02;1.47765360e-02;-1.07619143e-03;1.36987042e-03;3.23893917e-05;4.01349600e-05;;;;;;;;;;;;
10;-7.56525334e+03;4.05111735e+03;2.84001901e+03;1.47515575e+03;-6.21393421e+01;1.82499723e+02;-7.07904614e+01;3.34943570e+01;-8.03763203e-01;1.58437779e+00;7.15097633e-01;1.01856676e+00;7.48983052e-01;2.72471808e-01;-2.21576218e-01;3.56389287e-02;2.54049273e-02;2.09882613e-03;-1.37354779e-03;9.26869625e-05;2.92566394e-05;3.19295513e-06;;;;;;;;;;
11;-7.97320497e+04;1.60417698e+04;1.12647195e+04;9.04883549e+03;7.44082903e+03;1.84440908e+03;-9.59725021e+02;1.89253021e+02;-4.13461808e+02;2.70477122e+01;8.71365983e+01;2.30113567e+00;8.63688222e-02;2.28917689e-03;-9.04399616e-01;1.28949376e-02;-3.67108227e-02;6.76435688e-04;1.99783549e-02;2.02548498e-04;-1.58098355e-03;1.73298484e-05;4.06398732e-05;4.74268042e-07;;;;;;;;
12;-7.49431931e+04;8.14335282e+02;2.05316853e+02;1.68045052e+02;2.14766187e+01;1.01118464e+01;3.20436871e+02;5.14700544e+01;1.64527422e+03;2.09194894e+01;-7.06943898e+02;3.54752066e+00;9.27470579e+01;2.67759681e-01;3.00044146e-01;7.47745428e-04;-7.86963948e-01;1.26494150e-03;-3.03886934e-02;5.54123621e-05;1.59523734e-02;1.60672359e-05;-1.23389532e-03;1.40003294e-06;3.11959370e-05;4.13032547e-08;;;;;;
13;2.49822657e+05;1.10607147e+04;-1.84336546e+05;5.27001846e+03;1.73684311e+04;7.29765217e+02;5.15521715e+01;1.76524355e+00;3.91018836e-02;2.32386206e-03;1.43514924e+03;2.60064701e+00;-5.90913444e+02;5.42207104e-01;7.51210208e+01;4.23135831e-02;-2.98133550e-02;9.46183711e-06;-3.86075498e-01;1.45792661e-04;-7.82221648e-02;1.95436324e-05;1.82225359e-02;2.31049586e-06;-1.25853616e-03;1.83371031e-07;3.03558869e-05;6.15779937e-09;;;;
14;3.14217800e+06;1.65736432e+04;-1.32016189e+06;5.81867486e+03;-1.15903191e+04;8.99869510e+01;6.26792831e+04;1.99348580e+02;-7.73224074e+03;2.35343589e+01;3.87965597e+01;6.16277186e-02;3.81059182e+02;5.82442070e-01;-1.40646102e+02;7.59951681e-02;1.51819978e+01;3.80033708e-03;-3.61141165e-01;1.15280096e-04;3.97308724e-01;5.93599439e-05;-1.33626984e-01;6.54699631e-06;1.66798028e-02;6.17921246e-07;-9.48111354e-04;2.43711802e-08;2.08127232e-05;4.93666150e-10;;
15;5.04171871e+07;1.01409322e+04;-1.63709222e+07;3.69420957e+03;-4.77496633e+05;3.56139725e+02;2.40892206e+04;1.08825573e+01;2.27626722e+05;1.94945134e+01;-4.47170286e+04;3.42621427e+00;3.32702666e+03;2.59204743e-01;-2.06610954e+02;1.16511641e-02;-4.40652625e+01;2.31926706e-03;1.08331448e+01;3.74998657e-04;-2.88249599e-02;8.85174288e-07;3.16420987e-01;9.67844786e-06;-1.45662376e-01;1.23269619e-06;2.06137059e-02;9.62679479e-08;-1.26452159e-03;4.99605920e-09;2.92689329e-05;1.12330974e-10
